Rows: 22
Cols: 15
 0.678 0.622 0.603 0.573 0.522 0.544 0.681 0.660 0.661 0.564 0.401 0.510 0.558 0.589 0.631
 0.661 0.595 0.540 0.497 0.805 0.917 0.894 0.906 0.877 0.886 0.841 0.626 0.435 0.510 0.572
 0.656 0.498 0.419 0.799 0.822 0.804 0.845 0.875 0.812 0.751 0.794 0.687 0.226 0.437 0.558
 0.648 0.067 0.273 0.523 0.782 0.915 0.938 0.942 0.918 0.906 0.833 0.362 0.516 0.252 0.574
 0.537 0.009 0.139 0.545 0.813 0.944 0.945 0.946 0.943 0.940 0.935 0.817 0.283 0.175 0.610
 0.438 0.026 0.434 0.912 0.879 0.947 0.955 0.956 0.956 0.956 0.945 0.891 0.561 0.095 0.650
 0.305 0.062 0.508 0.851 0.902 0.902 0.822 0.846 0.857 0.868 0.914 0.940 0.549 0.068 0.641
 0.336 0.044 0.598 0.715 0.321 0.093 0.074 0.172 0.112 0.066 0.093 0.406 0.610 0.120 0.602
 0.342 0.026 0.475 0.236 0.446 0.298 0.199 0.638 0.381 0.192 0.510 0.241 0.211 0.093 0.741
 0.597 0.021 0.209 0.377 0.153 0.189 0.401 0.944 0.789 0.344 0.161 0.149 0.203 0.299 0.823
 0.697 0.038 0.378 0.578 0.458 0.508 0.704 0.747 0.684 0.520 0.459 0.493 0.445 0.337 0.842
 0.303 0.175 0.405 0.495 0.555 0.683 0.268 0.113 0.042 0.375 0.621 0.610 0.336 0.273 0.257
 0.394 0.236 0.220 0.343 0.345 0.654 0.575 0.708 0.583 0.592 0.581 0.485 0.332 0.129 0.450
 0.490 0.417 0.179 0.327 0.310 0.666 0.656 0.667 0.580 0.672 0.642 0.482 0.418 0.175 0.588
 0.704 0.383 0.272 0.289 0.271 0.254 0.272 0.326 0.324 0.236 0.533 0.603 0.440 0.225 0.740
 0.874 0.517 0.432 0.357 0.429 0.452 0.552 0.640 0.626 0.726 0.914 0.778 0.399 0.540 0.908
 0.919 0.919 0.724 0.308 0.600 0.613 0.596 0.722 0.731 0.730 0.788 0.559 0.410 0.940 0.946
 0.907 0.904 0.749 0.120 0.423 0.743 0.674 0.698 0.813 0.843 0.696 0.206 0.418 0.940 0.947
 0.891 0.893 0.785 0.104 0.073 0.202 0.398 0.376 0.335 0.262 0.115 0.053 0.347 0.879 0.944
 0.880 0.700 0.569 0.368 0.077 0.021 0.022 0.028 0.026 0.026 0.033 0.044 0.075 0.555 0.935
 0.876 0.771 0.365 0.359 0.364 0.089 0.018 0.018 0.020 0.022 0.028 0.036 0.062 0.460 0.901
 0.853 0.432 0.081 0.272 0.402 0.313 0.132 0.008 0.008 0.007 0.010 0.024 0.100 0.064 0.304

