Rows: 44
Cols: 30
 0.708 0.677 0.639 0.625 0.627 0.617 0.604 0.588 0.558 0.509 0.483 0.477 0.470 0.508 0.487 0.371 0.481 0.438 0.434 0.447 0.461 0.486 0.528 0.559 0.567 0.594 0.596 0.616 0.641 0.665
 0.678 0.650 0.615 0.610 0.592 0.576 0.559 0.542 0.532 0.490 0.499 0.717 0.832 0.914 0.911 0.872 0.888 0.837 0.794 0.583 0.294 0.363 0.456 0.497 0.516 0.555 0.565 0.579 0.594 0.622
 0.688 0.645 0.611 0.590 0.563 0.563 0.490 0.268 0.512 0.861 0.931 0.926 0.918 0.901 0.912 0.907 0.882 0.874 0.915 0.907 0.908 0.710 0.601 0.451 0.472 0.513 0.515 0.540 0.564 0.590
 0.678 0.635 0.598 0.581 0.555 0.481 0.410 0.819 0.920 0.927 0.910 0.899 0.878 0.878 0.914 0.891 0.897 0.854 0.851 0.874 0.846 0.899 0.855 0.598 0.333 0.421 0.482 0.503 0.551 0.582
 0.672 0.631 0.590 0.572 0.400 0.577 0.854 0.877 0.875 0.889 0.853 0.825 0.804 0.866 0.891 0.845 0.847 0.759 0.771 0.795 0.803 0.880 0.740 0.760 0.180 0.193 0.450 0.491 0.544 0.566
 0.681 0.642 0.539 0.291 0.058 0.640 0.727 0.739 0.827 0.699 0.728 0.809 0.813 0.898 0.897 0.868 0.855 0.787 0.706 0.731 0.679 0.816 0.659 0.589 0.495 0.035 0.314 0.491 0.544 0.579
 0.693 0.643 0.219 0.018 0.119 0.439 0.701 0.732 0.706 0.719 0.862 0.911 0.922 0.941 0.941 0.940 0.912 0.876 0.888 0.847 0.790 0.732 0.423 0.375 0.781 0.276 0.114 0.467 0.533 0.578
 0.724 0.533 0.024 0.007 0.140 0.394 0.321 0.336 0.777 0.926 0.944 0.943 0.944 0.945 0.943 0.944 0.942 0.941 0.942 0.944 0.937 0.873 0.528 0.123 0.424 0.585 0.032 0.394 0.581 0.605
 0.742 0.372 0.016 0.005 0.069 0.211 0.192 0.592 0.824 0.812 0.940 0.945 0.940 0.945 0.947 0.943 0.943 0.934 0.925 0.935 0.925 0.932 0.918 0.512 0.103 0.474 0.140 0.314 0.589 0.606
 0.732 0.304 0.010 0.004 0.098 0.178 0.469 0.926 0.830 0.786 0.945 0.945 0.944 0.949 0.946 0.949 0.946 0.950 0.949 0.949 0.948 0.934 0.936 0.901 0.461 0.094 0.098 0.149 0.610 0.635
 0.770 0.194 0.012 0.016 0.143 0.485 0.912 0.931 0.915 0.818 0.949 0.951 0.955 0.956 0.956 0.955 0.955 0.956 0.957 0.955 0.951 0.936 0.905 0.856 0.830 0.177 0.058 0.053 0.616 0.674
 0.728 0.059 0.017 0.059 0.269 0.838 0.910 0.895 0.918 0.865 0.943 0.946 0.951 0.956 0.957 0.957 0.956 0.955 0.957 0.956 0.948 0.945 0.930 0.872 0.860 0.376 0.233 0.036 0.595 0.713
 0.598 0.027 0.016 0.104 0.344 0.742 0.841 0.894 0.901 0.873 0.948 0.949 0.943 0.953 0.956 0.955 0.954 0.954 0.954 0.949 0.947 0.947 0.947 0.908 0.773 0.386 0.147 0.044 0.535 0.751
 0.574 0.022 0.011 0.117 0.400 0.546 0.754 0.915 0.901 0.932 0.906 0.805 0.719 0.674 0.715 0.758 0.752 0.768 0.770 0.800 0.835 0.926 0.952 0.951 0.671 0.365 0.052 0.031 0.495 0.784
 0.633 0.020 0.015 0.073 0.425 0.716 0.815 0.903 0.671 0.399 0.206 0.133 0.123 0.155 0.185 0.199 0.169 0.149 0.127 0.103 0.110 0.222 0.481 0.857 0.891 0.379 0.115 0.031 0.390 0.808
 0.671 0.020 0.017 0.074 0.509 0.742 0.782 0.360 0.152 0.060 0.022 0.010 0.009 0.009 0.057 0.247 0.104 0.026 0.016 0.017 0.015 0.024 0.055 0.230 0.738 0.433 0.296 0.038 0.387 0.822
 0.603 0.021 0.018 0.025 0.424 0.769 0.373 0.193 0.149 0.424 0.559 0.260 0.061 0.057 0.272 0.705 0.418 0.027 0.020 0.211 0.442 0.451 0.165 0.142 0.130 0.416 0.122 0.035 0.547 0.857
 0.696 0.047 0.019 0.043 0.274 0.433 0.221 0.156 0.563 0.648 0.293 0.079 0.214 0.464 0.623 0.952 0.858 0.223 0.245 0.290 0.497 0.651 0.490 0.168 0.130 0.165 0.172 0.043 0.687 0.871
 0.879 0.180 0.021 0.019 0.138 0.303 0.206 0.375 0.261 0.057 0.024 0.191 0.187 0.435 0.909 0.956 0.948 0.500 0.327 0.164 0.077 0.032 0.101 0.136 0.175 0.159 0.403 0.056 0.705 0.879
 0.905 0.423 0.024 0.020 0.119 0.275 0.524 0.405 0.126 0.170 0.243 0.297 0.361 0.623 0.954 0.956 0.955 0.754 0.365 0.521 0.336 0.198 0.158 0.202 0.321 0.156 0.639 0.099 0.805 0.901
 0.921 0.501 0.038 0.028 0.315 0.380 0.623 0.539 0.406 0.381 0.341 0.465 0.560 0.858 0.940 0.946 0.937 0.909 0.375 0.477 0.456 0.433 0.389 0.465 0.529 0.272 0.583 0.082 0.768 0.913
 0.916 0.449 0.044 0.042 0.456 0.362 0.557 0.593 0.541 0.502 0.549 0.677 0.725 0.674 0.517 0.585 0.466 0.423 0.654 0.573 0.507 0.440 0.495 0.624 0.628 0.351 0.573 0.111 0.758 0.929
 0.577 0.240 0.135 0.117 0.674 0.285 0.507 0.628 0.652 0.578 0.563 0.730 0.601 0.102 0.088 0.148 0.075 0.025 0.185 0.638 0.613 0.621 0.634 0.660 0.539 0.252 0.500 0.275 0.363 0.304
 0.277 0.118 0.273 0.176 0.437 0.224 0.365 0.479 0.495 0.495 0.647 0.793 0.235 0.136 0.164 0.051 0.017 0.049 0.098 0.579 0.613 0.637 0.613 0.533 0.368 0.186 0.158 0.160 0.059 0.301
 0.461 0.307 0.262 0.106 0.223 0.231 0.340 0.351 0.340 0.395 0.635 0.698 0.401 0.529 0.707 0.661 0.572 0.465 0.344 0.621 0.654 0.528 0.561 0.452 0.377 0.216 0.150 0.081 0.237 0.570
 0.461 0.349 0.417 0.160 0.190 0.237 0.347 0.333 0.248 0.399 0.537 0.748 0.689 0.679 0.745 0.721 0.725 0.571 0.515 0.888 0.665 0.476 0.460 0.467 0.468 0.266 0.170 0.115 0.341 0.651
 0.511 0.332 0.504 0.253 0.186 0.178 0.338 0.343 0.246 0.369 0.476 0.909 0.640 0.662 0.721 0.732 0.752 0.605 0.691 0.926 0.826 0.478 0.434 0.493 0.548 0.289 0.168 0.140 0.367 0.677
 0.772 0.347 0.592 0.319 0.191 0.161 0.341 0.286 0.293 0.333 0.504 0.775 0.677 0.646 0.607 0.608 0.527 0.434 0.557 0.515 0.728 0.537 0.455 0.547 0.562 0.275 0.155 0.236 0.516 0.792
 0.910 0.409 0.510 0.435 0.200 0.256 0.247 0.315 0.338 0.219 0.266 0.382 0.432 0.246 0.081 0.037 0.033 0.040 0.096 0.147 0.382 0.597 0.534 0.585 0.540 0.315 0.141 0.349 0.507 0.890
 0.929 0.568 0.256 0.331 0.316 0.314 0.274 0.319 0.335 0.193 0.164 0.205 0.101 0.309 0.588 0.600 0.688 0.535 0.360 0.341 0.324 0.831 0.723 0.568 0.548 0.360 0.121 0.291 0.625 0.937
 0.930 0.710 0.317 0.485 0.333 0.267 0.290 0.384 0.421 0.217 0.355 0.236 0.463 0.666 0.669 0.620 0.618 0.619 0.645 0.859 0.909 0.924 0.929 0.596 0.535 0.317 0.159 0.426 0.789 0.949
 0.926 0.929 0.707 0.557 0.835 0.291 0.300 0.455 0.551 0.525 0.633 0.585 0.512 0.568 0.609 0.661 0.675 0.592 0.580 0.821 0.887 0.935 0.912 0.673 0.471 0.275 0.809 0.766 0.944 0.949
 0.924 0.924 0.925 0.924 0.896 0.536 0.212 0.454 0.626 0.570 0.683 0.543 0.560 0.577 0.650 0.742 0.736 0.651 0.601 0.581 0.661 0.784 0.734 0.486 0.331 0.389 0.941 0.942 0.944 0.949
 0.915 0.915 0.913 0.915 0.916 0.548 0.192 0.376 0.610 0.594 0.670 0.554 0.592 0.653 0.725 0.769 0.739 0.797 0.898 0.841 0.817 0.888 0.694 0.320 0.203 0.717 0.938 0.940 0.944 0.946
 0.910 0.910 0.908 0.907 0.919 0.541 0.103 0.236 0.513 0.518 0.802 0.690 0.649 0.682 0.717 0.770 0.794 0.945 0.949 0.946 0.932 0.707 0.401 0.190 0.106 0.780 0.939 0.940 0.944 0.951
 0.907 0.902 0.899 0.903 0.912 0.625 0.061 0.078 0.293 0.370 0.649 0.831 0.766 0.601 0.626 0.680 0.738 0.774 0.711 0.765 0.767 0.380 0.153 0.081 0.075 0.713 0.941 0.941 0.945 0.950
 0.899 0.893 0.897 0.900 0.914 0.698 0.080 0.033 0.066 0.171 0.242 0.421 0.579 0.489 0.476 0.500 0.514 0.406 0.336 0.399 0.281 0.094 0.052 0.064 0.070 0.822 0.929 0.940 0.941 0.947
 0.885 0.885 0.887 0.888 0.863 0.665 0.265 0.036 0.027 0.030 0.045 0.101 0.195 0.330 0.255 0.273 0.249 0.169 0.149 0.162 0.051 0.035 0.046 0.049 0.062 0.435 0.741 0.907 0.941 0.945
 0.878 0.882 0.820 0.682 0.757 0.487 0.408 0.271 0.021 0.025 0.022 0.022 0.019 0.043 0.051 0.033 0.033 0.033 0.027 0.029 0.030 0.038 0.046 0.052 0.065 0.083 0.483 0.872 0.933 0.943
 0.879 0.880 0.740 0.556 0.585 0.446 0.321 0.474 0.239 0.022 0.020 0.020 0.016 0.011 0.014 0.015 0.019 0.019 0.021 0.025 0.031 0.033 0.036 0.042 0.045 0.107 0.362 0.504 0.927 0.937
 0.877 0.879 0.799 0.509 0.584 0.269 0.338 0.435 0.453 0.195 0.031 0.019 0.018 0.014 0.014 0.020 0.019 0.021 0.025 0.028 0.031 0.034 0.041 0.043 0.053 0.107 0.565 0.907 0.933 0.937
 0.872 0.878 0.879 0.896 0.443 0.165 0.315 0.348 0.435 0.371 0.245 0.059 0.020 0.019 0.017 0.021 0.021 0.018 0.018 0.018 0.021 0.027 0.026 0.032 0.038 0.049 0.068 0.300 0.800 0.933
 0.871 0.884 0.887 0.522 0.028 0.153 0.229 0.327 0.439 0.376 0.328 0.302 0.083 0.008 0.008 0.014 0.011 0.011 0.006 0.011 0.012 0.015 0.024 0.026 0.045 0.060 0.056 0.103 0.184 0.666
 0.883 0.774 0.296 0.023 0.006 0.138 0.209 0.323 0.387 0.404 0.329 0.293 0.315 0.123 0.005 0.006 0.005 0.005 0.004 0.006 0.005 0.009 0.019 0.026 0.137 0.159 0.042 0.055 0.084 0.280

